time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,SMA_50,RSI,Signal
1750347120,5950.06,5950.43,5950.06,5950.31,4,50,0,,,,0
1750347180,5950.31,5950.56,5947.31,5947.31,26,50,0,,,,0
1750347240,5947.31,5947.81,5945.43,5945.56,41,50,0,,,,0
1750347300,5945.56,5946.06,5944.56,5946.06,51,50,0,,,,0
1750347360,5946.06,5946.56,5945.81,5945.93,15,50,0,,,,0
1750347420,5946.06,5946.56,5945.81,5946.56,13,50,0,,,,0
1750347480,5946.56,5947.06,5945.81,5945.81,18,50,0,,,,0
1750347540,5945.81,5946.06,5945.56,5945.56,23,50,0,,,,0
1750347600,5945.56,5946.06,5944.68,5945.81,28,50,0,,,,0
1750347660,5945.81,5945.81,5945.31,5945.31,13,50,0,,,,0
1750347720,5945.31,5945.43,5944.56,5944.56,27,50,0,,,,0
1750347780,5944.56,5944.56,5942.31,5943.68,66,50,0,,,,0
1750347840,5943.56,5943.56,5942.31,5942.56,30,50,0,,,,0
1750347900,5942.43,5942.43,5940.06,5940.56,52,50,0,,,,0
1750347960,5940.56,5940.56,5938.93,5939.56,57,50,0,,,10.214655810511374,0
1750348020,5939.56,5939.81,5938.31,5939.31,39,50,0,,,12.825278810409685,0
1750348080,5939.18,5939.81,5939.18,5939.56,30,50,0,,,17.60259179265735,0
1750348140,5939.56,5940.56,5936.81,5937.06,79,50,0,,,10.035523978686385,0
1750348200,5936.56,5939.06,5936.31,5938.06,81,50,0,,,17.559769167354418,0
1750348260,5938.31,5938.43,5936.06,5937.06,51,50,0,5943.3095,,11.999999999999986,0
1750348320,5937.06,5938.43,5936.81,5937.81,41,50,0,5942.684500000001,,18.0,0
1750348380,5937.81,5939.56,5937.68,5939.56,37,50,0,5942.2970000000005,,28.57142857142857,0
1750348440,5939.43,5940.81,5939.43,5939.81,49,50,0,5942.0095,,28.57142857142857,0
1750348500,5939.68,5940.06,5938.06,5938.43,45,50,0,5941.628,,26.881720430107322,0
1750348560,5938.31,5939.81,5938.31,5939.81,47,50,0,5941.322000000001,,34.687298517085964,0
1750348620,5939.56,5940.81,5939.31,5939.93,40,50,0,5940.990500000001,,37.288135593220346,0
1750348680,5939.81,5940.06,5939.31,5939.81,12,50,0,5940.6905,,39.99999999999999,0
1750348740,5939.81,5939.81,5938.81,5938.81,21,50,0,5940.353,,43.13725490196078,0
1750348800,5938.93,5941.06,5938.81,5939.56,48,50,0,5940.040500000001,,50.0,0
1750348860,5939.81,5940.31,5938.81,5940.06,46,50,0,5939.778,,52.94117647058823,0
1750348920,5939.81,5940.31,5938.93,5940.18,30,50,0,5939.559,,52.45641838351781,0
1750348980,5940.06,5940.18,5938.81,5938.81,36,50,0,5939.315500000001,,57.61531766753713,0
1750349040,5938.81,5939.06,5937.56,5938.06,38,50,0,5939.0905,,50.0,0
1750349100,5938.06,5941.56,5934.43,5941.18,107,50,0,5939.1215,,65.41916167664668,0
1750349160,5941.06,5941.31,5938.56,5938.81,71,50,0,5939.084000000001,,53.337783711615586,0
1750349220,5938.81,5939.81,5938.56,5939.56,28,50,0,5939.096500000001,,50.0,0
1750349280,5939.56,5939.68,5936.81,5936.81,40,50,0,5938.959000000001,,40.89805825242694,0
1750349340,5937.06,5938.81,5935.81,5938.56,72,50,0,5939.034000000001,,50.3857566765582,0
1750349400,5938.56,5939.56,5938.31,5939.06,32,50,0,5939.084000000001,,47.651847213525265,0
1750349460,5939.06,5940.06,5939.06,5939.81,25,50,0,5939.221500000001,,49.63855421686779,0
1750349520,5939.81,5940.43,5938.06,5940.43,39,50,0,5939.3525,,51.812865497075755,0
1750349580,5940.43,5940.81,5939.93,5940.56,26,50,0,5939.4025,,55.39125077017882,0
1750349640,5940.56,5940.81,5940.43,5940.81,22,50,0,5939.4525,,53.97329942784499,0
1750349700,5940.81,5941.31,5940.56,5941.31,29,50,0,5939.596500000001,,53.97329942784499,0
1750349760,5941.31,5942.06,5940.81,5941.81,27,50,0,5939.6965,,55.0589695841097,0
1750349820,5941.81,5942.06,5941.06,5942.06,25,50,0,5939.803000000001,,60.84056037358254,0
1750349880,5942.06,5942.56,5941.81,5942.06,29,50,0,5939.915500000001,,64.04494382022493,0
1750349940,5941.81,5942.31,5941.43,5942.31,25,50,0,5940.0905,,54.96921723834705,0
1750350000,5942.31,5942.81,5941.68,5942.43,27,50,0,5940.234,,69.84649122806981,0
1750350060,5942.43,5942.43,5941.31,5941.56,35,50,0,5940.309,5941.319200000001,60.82251082251108,-1
1750350120,5941.56,5942.06,5941.31,5942.06,11,50,0,5940.403,5941.154200000001,87.5536480686707,-1
1750350180,5942.06,5944.31,5942.06,5944.18,38,50,0,5940.6715,5941.091600000001,88.17934782608792,-1
1750350240,5944.31,5944.56,5944.06,5944.06,25,50,0,5940.971500000001,5941.0616,85.81661891117703,-1
1750350300,5944.06,5944.31,5944.06,5944.31,12,50,0,5941.128000000001,5941.0266,84.72222222222456,1
1750350360,5944.31,5945.06,5943.81,5945.06,26,50,0,5941.440500000001,5941.0092,85.02269288956383,1
1750350420,5945.06,5945.06,5944.31,5944.81,13,50,0,5941.7029999999995,5940.974200000001,81.57503714710458,1
1750350480,5944.31,5945.06,5944.06,5944.06,14,50,0,5942.0655,5940.939200000001,72.47579529737342,1
1750350540,5944.06,5945.56,5944.06,5945.06,23,50,0,5942.3905,5940.9292000000005,74.25614489004018,1
1750350600,5945.18,5945.31,5940.81,5943.06,115,50,0,5942.5905,5940.8742,56.771397616468356,1
1750350660,5942.81,5944.06,5942.31,5943.06,71,50,0,5942.753000000001,5940.8292,55.56792873051252,1
1750350720,5943.31,5943.56,5940.56,5941.31,61,50,0,5942.7970000000005,5940.7642000000005,46.5051258154705,1
1750350780,5941.11,5941.73,5939.98,5940.48,52,40,0,5942.793000000001,5940.7002,41.90981432360401,1
1750350840,5940.73,5941.11,5939.73,5939.86,43,40,0,5942.7455,5940.6462,39.11939034716117,1
1750350900,5939.86,5940.11,5938.11,5938.36,76,40,0,5942.598,5940.602199999999,37.138263665592454,1
1750350960,5938.61,5939.11,5937.11,5937.11,53,40,0,5942.362999999999,5940.5532,31.235784685365672,1
1750351020,5937.11,5937.11,5935.36,5935.73,74,40,0,5942.0465,5940.4816,16.064257028111513,1
1750351080,5935.73,5935.73,5932.48,5932.48,74,40,0,5941.5675,5940.34,12.836970474967217,1
1750351140,5932.48,5934.61,5931.86,5933.86,72,40,0,5941.145,5940.276,18.731298623578283,1
1750351200,5933.86,5934.11,5932.86,5933.11,46,40,0,5940.679,5940.177000000001,14.24296828246544,1
1750351260,5933.11,5933.36,5931.36,5932.36,72,40,0,5940.219,5940.0830000000005,13.829169087739572,1
1750351320,5932.48,5932.86,5931.86,5931.86,57,40,0,5939.709000000001,5939.964,14.033018867924397,-1
1750351380,5931.86,5932.98,5930.86,5932.11,70,40,0,5939.1055,5939.815,10.05552128315864,-1
1750351440,5932.11,5933.23,5931.86,5931.86,49,40,0,5938.495499999999,5939.656000000001,11.272475795297382,-1
1750351500,5931.73,5933.48,5931.36,5931.61,71,40,0,5937.8605,5939.5196000000005,11.080897348742383,-1
1750351560,5931.73,5931.73,5926.36,5929.48,114,40,0,5937.0815,5939.313,10.80185553346584,-1
1750351620,5929.36,5929.48,5924.11,5924.36,105,40,0,5936.059,5939.0016,8.410732714138803,-1
1750351680,5924.48,5924.48,5916.48,5917.86,148,40,0,5934.748999999999,5938.5626,6.452889944576782,-1
1750351740,5916.61,5921.86,5916.61,5921.86,133,40,0,5933.588999999999,5938.2236,20.280979827089567,-1
1750351800,5921.73,5924.23,5920.36,5922.61,122,40,0,5932.566499999999,5937.884599999999,23.404255319149144,-1
1750351860,5922.61,5922.86,5920.11,5920.36,99,40,0,5931.4315,5937.490599999999,22.680412371134324,-1
1750351920,5920.61,5923.73,5920.11,5922.86,84,40,0,5930.509,5937.144200000001,32.432432432432705,-1
1750351980,5922.61,5923.36,5921.98,5922.11,64,40,0,5929.590499999999,5936.8102,28.037383177570092,-1
